SN=6333123220238
      153	2018-01-11 07:12:59	1	0	1	0
      137	2018-01-11 07:13:30	1	0	1	0
      140	2018-01-11 07:14:16	1	1	1	0
      140	2018-01-11 07:15:14	1	0	1	0
      133	2018-01-11 07:24:22	1	0	1	0
       69	2018-01-11 07:36:28	1	0	1	0
      128	2018-01-11 07:41:29	1	0	1	0
      121	2018-01-11 07:44:45	1	0	1	0
       13	2018-01-11 07:45:52	1	0	1	0
       13	2018-01-11 07:45:55	1	0	1	0
      132	2018-01-11 07:46:32	1	0	1	0
       92	2018-01-11 07:51:01	1	0	1	0
      144	2018-01-11 07:57:10	1	0	1	0
      143	2018-01-11 08:09:16	1	0	1	0
       97	2018-01-11 08:11:55	1	0	1	0
      152	2018-01-11 08:18:04	1	0	1	0
      152	2018-01-11 08:18:06	1	0	1	0
      141	2018-01-11 08:20:24	1	0	1	0
      145	2018-01-11 08:20:39	1	0	1	0
      145	2018-01-11 08:20:40	1	0	1	0
      107	2018-01-11 08:24:19	1	0	1	0
      107	2018-01-11 08:24:21	1	0	1	0
      115	2018-01-11 08:24:39	1	0	1	0
       93	2018-01-11 08:26:03	1	0	1	0
      125	2018-01-11 08:29:59	1	0	1	0
      111	2018-01-11 08:30:03	1	0	1	0
      116	2018-01-11 08:30:07	1	0	1	0
      101	2018-01-11 08:36:05	1	1	1	0
      120	2018-01-11 08:48:09	1	0	1	0
       43	2018-01-11 08:48:24	1	0	1	0
      122	2018-01-11 08:57:56	1	0	1	0
        4	2018-01-11 08:58:58	1	0	1	0
       88	2018-01-11 09:02:22	1	0	1	0
       48	2018-01-11 09:12:09	1	0	1	0
       55	2018-01-11 09:12:43	1	0	1	0
      108	2018-01-11 09:18:35	1	0	1	0
      142	2018-01-11 09:24:41	1	0	1	0
       74	2018-01-11 09:55:45	1	0	1	0
      151	2018-01-11 09:55:51	1	0	1	0
       98	2018-01-11 10:04:56	1	0	1	0
      118	2018-01-11 10:08:02	1	0	1	0
      103	2018-01-11 10:25:50	1	0	1	0
      144	2018-01-11 13:19:35	1	0	1	0
       98	2018-01-11 18:03:41	1	1	1	0
